Estimator,Terminal cumulative wealth at 120 months
Observed,1.516156695110892
rwiPCA,1.7587411037435148
Grouped FE rwiPCA,1.7093571766267173
TWFE,1.8110876635484483
PCA no FE,1.990794107248128
DR-rwiPCA,1.642521581770266
Momentum-controlled rwiPCA,1.7024142225836458
