Method,Estimate,Std. error,CI lower,CI upper
Newey-West HAC (lag 12),-0.1907241940028136,0.07546891974153047,-0.3386432766962133,-0.04280511130941386
Sectioning (block 6),-0.1907241940028136,0.06419983817175805,-0.3165558768194594,-0.06489251118616782
Moving-block bootstrap (block 6),-0.1907241940028136,0.06327326652454972,-0.32010415285336563,-0.07467602824285166
Stationary bootstrap (mean block 6),-0.1907241940028136,0.07065545201357357,-0.3360106847599946,-0.05371454206949249
Analytic plug-in (HAC + ridge factor term),-0.1907241940028136,0.07616526804905614,-0.34000811937896364,-0.04144026862666356
